time,total_cases,daily_cases,total_currently_infected,total_death
2020-08-31,445,0,87,1
2020-09-01,445,0,87,1
2020-09-02,448,3,90,1
2020-09-03,448,0,90,1
2020-09-04,451,3,93,1
2020-09-05,460,9,102,1
2020-09-06,462,2,104,1
2020-09-07,466,4,91,1
2020-09-08,466,0,91,1
2020-09-09,466,0,91,1
2020-09-10,469,3,94,1
2020-09-11,469,0,94,1
2020-09-12,471,2,96,1
2020-09-13,472,1,97,1
2020-09-14,472,0,97,1
2020-09-15,472,0,97,1
2020-09-16,472,0,97,1
2020-09-17,473,1,98,1
2020-09-18,473,0,98,1
2020-09-19,473,0,98,1
2020-09-20,473,0,10,1
2020-09-21,474,1,11,1
2020-09-22,474,0,11,1
2020-09-23,476,2,13,1
2020-09-24,477,1,14,1
2020-09-25,483,6,20,1
2020-09-26,485,2,12,1
2020-09-27,485,0,12,1
2020-09-28,502,17,29,1
2020-09-29,506,4,33,1
2020-09-30,508,2,35,1
2020-10-01,510,2,37,1
2020-10-02,513,3,40,1
2020-10-03,513,0,40,1
2020-10-04,513,0,40,1
2020-10-05,514,1,41,1
2020-10-06,514,0,41,1
2020-10-07,515,1,42,1
2020-10-08,515,0,42,1
2020-10-09,515,0,42,1
2020-10-10,517,2,44,1
2020-10-11,524,7,51,1
2020-10-12,525,1,52,1
2020-10-13,529,4,56,1
2020-10-14,529,0,31,1
2020-10-15,529,0,31,1
2020-10-16,531,2,33,1
2020-10-17,536,5,38,1
2020-10-18,542,6,44,1
2020-10-19,549,7,51,1
2020-10-20,550,1,52,1
2020-10-21,550,0,52,1
2020-10-22,551,1,53,1
2020-10-23,553,2,55,1
2020-10-24,555,2,57,1
2020-10-25,557,2,45,1
2020-10-26,557,0,45,1
2020-10-27,558,1,46,1
2020-10-28,559,1,47,1
2020-10-29,560,1,48,1
2020-10-30,582,22,70,1
2020-10-31,585,3,73,1
