time,total_cases,daily_cases,total_currently_infected
2020-05-16,39,0,0
2020-05-17,39,0,0
2020-05-18,39,0,0
2020-05-19,39,0,0
2020-05-20,39,0,0
2020-05-21,39,0,0
2020-05-22,39,0,0
2020-05-23,39,0,0
2020-05-24,39,0,0
2020-05-25,39,0,0
2020-05-26,39,0,0
2020-05-27,39,0,0
2020-05-28,39,0,0
2020-05-29,39,0,0
2020-05-30,39,0,0
2020-05-31,39,0,0
2020-06-01,39,0,0
2020-06-02,39,0,0
2020-06-03,39,0,0
2020-06-04,39,0,0
2020-06-05,39,0,0
2020-06-06,39,0,0
2020-06-07,39,0,0
2020-06-08,39,0,0
2020-06-09,39,0,0
2020-06-10,41,2,2
2020-06-11,41,0,2
2020-06-12,41,0,2
2020-06-13,65,24,26
2020-06-14,96,31,57
2020-06-15,109,13,70
2020-06-16,121,12,82
2020-06-17,131,10,92
2020-06-18,142,11,103
2020-06-19,142,0,103
2020-06-20,143,1,104
2020-06-21,143,0,104
2020-06-22,143,0,104
2020-06-23,143,0,104
2020-06-24,144,1,105
2020-06-25,144,0,105
2020-06-26,167,23,114
2020-06-27,191,24,138
2020-06-28,191,0,138
2020-06-29,191,0,138
2020-06-30,203,12,150
2020-07-01,203,0,147
2020-07-02,215,12,159
2020-07-03,215,0,159
2020-07-04,215,0,159
2020-07-05,215,0,159
2020-07-06,215,0,159
2020-07-07,215,0,159
2020-07-08,215,0,159
2020-07-09,232,17,125
2020-07-10,232,0,125
2020-07-11,232,0,125
2020-07-12,232,0,125
2020-07-13,232,0,125
2020-07-14,232,0,125
2020-07-15,232,0,125
2020-07-16,251,19,102
2020-07-17,251,0,96
2020-07-18,251,0,96
2020-07-19,251,0,96
2020-07-20,251,0,96
2020-07-21,251,0,96
2020-07-22,251,0,96
2020-07-23,261,10,72
2020-07-24,261,0,72
2020-07-25,263,2,74
2020-07-26,263,0,74
2020-07-27,265,2,74
2020-07-28,265,0,74
2020-07-29,265,0,74
2020-07-30,279,14,54
2020-07-31,279,0,54
2020-08-01,279,0,54
2020-08-02,279,0,54
2020-08-03,282,3,57
2020-08-04,282,0,57
2020-08-05,282,0,57
2020-08-06,282,0,57
2020-08-07,285,3,40
2020-08-08,285,0,40
2020-08-09,285,0,40
2020-08-10,285,0,40
2020-08-11,285,0,37
2020-08-12,285,0,37
2020-08-13,285,0,37
2020-08-14,285,0,37
2020-08-15,285,0,37
2020-08-16,285,0,37
2020-08-17,285,0,37
2020-08-18,304,19,43
2020-08-19,304,0,43
2020-08-20,306,2,32
2020-08-21,306,0,32
2020-08-22,306,0,32
2020-08-23,306,0,32
2020-08-24,306,0,32
2020-08-25,315,9,39
2020-08-26,315,0,39
2020-08-27,317,2,33
2020-08-28,317,0,33
2020-08-29,318,1,34
2020-08-30,318,0,34
2020-08-31,319,1,35
2020-09-01,319,0,35
2020-09-02,319,0,35
2020-09-03,330,11,35
2020-09-04,330,0,35
2020-09-05,330,0,35
2020-09-06,330,0,35
2020-09-07,330,0,35
2020-09-08,341,11,46
2020-09-09,341,0,46
2020-09-10,361,20,57
2020-09-11,361,0,57
2020-09-12,361,0,57
2020-09-13,361,0,57
2020-09-14,361,0,57
2020-09-15,364,3,60
2020-09-16,364,0,59
2020-09-17,364,0,59
2020-09-18,364,0,59
2020-09-19,364,0,59
2020-09-20,364,0,59
2020-09-21,364,0,59
2020-09-22,364,0,55
2020-09-23,364,0,55
2020-09-24,369,5,39
2020-09-25,369,0,39
2020-09-26,375,6,34
2020-09-27,375,0,34
2020-09-28,375,0,34
2020-09-29,375,0,34
2020-09-30,375,0,34
2020-10-01,381,6,28
2020-10-02,381,0,28
2020-10-03,398,17,40
2020-10-04,398,0,40
2020-10-05,398,0,40
2020-10-06,398,0,40
2020-10-07,398,0,40
2020-10-08,405,7,41
2020-10-09,405,0,41
2020-10-10,414,9,42
2020-10-11,414,0,42
2020-10-12,414,0,42
2020-10-13,414,0,42
2020-10-14,414,0,42
2020-10-15,422,8,46
2020-10-16,422,0,46
2020-10-17,452,30,64
2020-10-18,452,0,64
2020-10-19,452,0,64
2020-10-20,452,0,64
2020-10-21,452,0,64
2020-10-22,457,5,66
2020-10-23,461,4,56
2020-10-24,461,0,56
2020-10-25,461,0,56
2020-10-26,461,0,56
2020-10-27,461,0,56
2020-10-28,461,0,56
2020-10-29,461,0,56
2020-10-30,463,2,51
2020-10-31,463,0,51
